plan_id,compound,assay,independent_runs,start_business_day,end_business_day,cost_allocation,total_material_mg_all_runs,gate
COV-W2,S2,pending CDK1/context-B,1,0,3,coverage,2,already reserved; obtain raw value and QC
COV-O2,S3,repeat failed CDK1/context-B with QC,1,0,3,coverage,2,proposed recovery not historical label
COV-O1,S1,independent CDK2/context-A preparation/day repeat,1,3,5,coverage,1,retrieve original W1 numeric result to assess reproducibility
identity_concentration-S2,S2,identity_concentration,1,1,5,identity_ADME,0.2,identity ≥95%; stereochemistry and concentration verified
paired_CDK2E1_CDK1B1-S2,S2,paired_CDK2E1_CDK1B1,3,16,21,biochemistry,0.15,three independent prep/days; 1mM ATP; raw curves
orthogonal_ATP_shift-S2,S2,orthogonal_ATP_shift,1,18,22,biochemistry,0.15,paired catalytic readout and ATP-dependence check
solubility_HLM-S2,S2,solubility_HLM,1,6,15,identity_ADME,0.15,achieved concentrations; HLM risk readout
cellular_engagement_exposure-S2,S2,cellular_engagement_exposure,2,23,26,cell_engagement,0.3,paired CDK2/CDK1; CDK9 countercheck; biochemical gate
phenotype_dependency-S2,S2,phenotype_dependency,2,26,30,phenotype,0.2,engagement window; authenticated existing cell and genetic controls
retained_sample-S2,S2,retained_sample,1,1,30,identity_ADME,0.05,reserve for discrepancy investigation
identity_concentration-S3,S3,identity_concentration,1,1,5,identity_ADME,0.2,identity ≥95%; stereochemistry and concentration verified
paired_CDK2E1_CDK1B1-S3,S3,paired_CDK2E1_CDK1B1,3,16,21,biochemistry,0.15,three independent prep/days; 1mM ATP; raw curves
orthogonal_ATP_shift-S3,S3,orthogonal_ATP_shift,1,18,22,biochemistry,0.15,paired catalytic readout and ATP-dependence check
solubility_HLM-S3,S3,solubility_HLM,1,6,15,identity_ADME,0.15,achieved concentrations; HLM risk readout
cellular_engagement_exposure-S3,S3,cellular_engagement_exposure,2,23,26,cell_engagement,0.3,paired CDK2/CDK1; CDK9 countercheck; biochemical gate
phenotype_dependency-S3,S3,phenotype_dependency,2,26,30,phenotype,0.2,engagement window; authenticated existing cell and genetic controls
retained_sample-S3,S3,retained_sample,1,1,30,identity_ADME,0.05,reserve for discrepancy investigation
identity_concentration-D1,D1,identity_concentration,1,15,16,identity_ADME,0.2,identity ≥95%; stereochemistry and concentration verified
paired_CDK2E1_CDK1B1-D1,D1,paired_CDK2E1_CDK1B1,3,16,21,biochemistry,0.15,three independent prep/days; 1mM ATP; raw curves
orthogonal_ATP_shift-D1,D1,orthogonal_ATP_shift,1,18,22,biochemistry,0.15,paired catalytic readout and ATP-dependence check
solubility_HLM-D1,D1,solubility_HLM,1,16,22,identity_ADME,0.15,achieved concentrations; HLM risk readout
cellular_engagement_exposure-D1,D1,cellular_engagement_exposure,2,23,26,cell_engagement,0.3,paired CDK2/CDK1; CDK9 countercheck; biochemical gate
phenotype_dependency-D1,D1,phenotype_dependency,2,26,30,phenotype,0.2,engagement window; authenticated existing cell and genetic controls
retained_sample-D1,D1,retained_sample,1,16,30,identity_ADME,0.05,reserve for discrepancy investigation
identity_concentration-D2,D2,identity_concentration,1,15,16,identity_ADME,0.2,identity ≥95%; stereochemistry and concentration verified
paired_CDK2E1_CDK1B1-D2,D2,paired_CDK2E1_CDK1B1,3,16,21,biochemistry,0.15,three independent prep/days; 1mM ATP; raw curves
orthogonal_ATP_shift-D2,D2,orthogonal_ATP_shift,1,18,22,biochemistry,0.15,paired catalytic readout and ATP-dependence check
solubility_HLM-D2,D2,solubility_HLM,1,16,22,identity_ADME,0.15,achieved concentrations; HLM risk readout
cellular_engagement_exposure-D2,D2,cellular_engagement_exposure,2,23,26,cell_engagement,0.3,paired CDK2/CDK1; CDK9 countercheck; biochemical gate
phenotype_dependency-D2,D2,phenotype_dependency,2,26,30,phenotype,0.2,engagement window; authenticated existing cell and genetic controls
retained_sample-D2,D2,retained_sample,1,16,30,identity_ADME,0.05,reserve for discrepancy investigation
